"y","x","xstr"
"1",1,0,0
"2",1,0,0
"3",1,0,0
"4",1,0,0
"5",1,0,0
"6",1,0,0
"7",1,0,0
"8",1,0,0
"9",1,0,0
"10",1,0,0
"11",1,0,0
"12",1,0,0
"13",1,0,0
"14",1,0,1
"15",1,0,1
"16",1,0,1
"17",1,1,0
"18",1,1,0
"19",1,1,0
"20",1,1,0
"21",1,1,0
"22",1,1,1
"23",1,1,1
"24",1,1,1
"25",1,1,1
"26",1,1,1
"27",1,1,1
"28",1,1,1
"29",1,1,1
"30",1,1,1
"31",1,1,1
"32",1,1,1
"33",1,1,1
"34",1,1,1
"35",1,1,1
"36",1,1,1
"37",1,1,1
"38",1,1,1
"39",1,1,1
"40",0,0,0
"41",0,0,0
"42",0,0,0
"43",0,0,0
"44",0,0,0
"45",0,0,0
"46",0,0,0
"47",0,0,0
"48",0,0,0
"49",0,0,0
"50",0,0,0
"51",0,0,0
"52",0,0,0
"53",0,0,0
"54",0,0,0
"55",0,0,0
"56",0,0,0
"57",0,0,0
"58",0,0,0
"59",0,0,0
"60",0,0,0
"61",0,0,0
"62",0,0,0
"63",0,0,0
"64",0,0,0
"65",0,0,0
"66",0,0,0
"67",0,0,0
"68",0,0,0
"69",0,0,0
"70",0,0,0
"71",0,0,0
"72",0,0,0
"73",0,0,1
"74",0,0,1
"75",0,0,1
"76",0,0,1
"77",0,0,1
"78",0,0,1
"79",0,0,1
"80",0,0,1
"81",0,0,1
"82",0,0,1
"83",0,0,1
"84",0,1,0
"85",0,1,0
"86",0,1,0
"87",0,1,0
"88",0,1,0
"89",0,1,0
"90",0,1,0
"91",0,1,0
"92",0,1,0
"93",0,1,0
"94",0,1,0
"95",0,1,0
"96",0,1,0
"97",0,1,0
"98",0,1,0
"99",0,1,0
"100",0,1,1
"101",0,1,1
"102",0,1,1
"103",0,1,1
"104",0,1,1
"105",0,1,1
"106",0,1,1
"107",0,1,1
"108",0,1,1
"109",0,1,1
"110",0,1,1
"111",0,1,1
"112",0,1,1
"113",0,1,1
"114",0,1,1
"115",0,1,1
"116",1,NA,0
"117",1,NA,0
"118",1,NA,0
"119",1,NA,0
"120",1,NA,0
"121",1,NA,0
"122",1,NA,0
"123",1,NA,0
"124",1,NA,0
"125",1,NA,0
"126",1,NA,0
"127",1,NA,0
"128",1,NA,0
"129",1,NA,0
"130",1,NA,0
"131",1,NA,0
"132",1,NA,0
"133",1,NA,0
"134",1,NA,0
"135",1,NA,0
"136",1,NA,0
"137",1,NA,0
"138",1,NA,0
"139",1,NA,0
"140",1,NA,0
"141",1,NA,0
"142",1,NA,0
"143",1,NA,0
"144",1,NA,0
"145",1,NA,0
"146",1,NA,0
"147",1,NA,0
"148",1,NA,0
"149",1,NA,0
"150",1,NA,0
"151",1,NA,0
"152",1,NA,0
"153",1,NA,0
"154",1,NA,0
"155",1,NA,0
"156",1,NA,0
"157",1,NA,0
"158",1,NA,0
"159",1,NA,0
"160",1,NA,0
"161",1,NA,0
"162",1,NA,0
"163",1,NA,0
"164",1,NA,0
"165",1,NA,0
"166",1,NA,0
"167",1,NA,0
"168",1,NA,0
"169",1,NA,0
"170",1,NA,0
"171",1,NA,0
"172",1,NA,0
"173",1,NA,0
"174",1,NA,0
"175",1,NA,0
"176",1,NA,0
"177",1,NA,0
"178",1,NA,0
"179",1,NA,0
"180",1,NA,0
"181",1,NA,0
"182",1,NA,0
"183",1,NA,0
"184",1,NA,0
"185",1,NA,0
"186",1,NA,0
"187",1,NA,0
"188",1,NA,0
"189",1,NA,0
"190",1,NA,0
"191",1,NA,0
"192",1,NA,0
"193",1,NA,0
"194",1,NA,0
"195",1,NA,0
"196",1,NA,0
"197",1,NA,0
"198",1,NA,0
"199",1,NA,0
"200",1,NA,0
"201",1,NA,0
"202",1,NA,0
"203",1,NA,0
"204",1,NA,0
"205",1,NA,0
"206",1,NA,0
"207",1,NA,0
"208",1,NA,0
"209",1,NA,0
"210",1,NA,0
"211",1,NA,0
"212",1,NA,0
"213",1,NA,0
"214",1,NA,0
"215",1,NA,0
"216",1,NA,0
"217",1,NA,0
"218",1,NA,0
"219",1,NA,0
"220",1,NA,0
"221",1,NA,0
"222",1,NA,0
"223",1,NA,0
"224",1,NA,0
"225",1,NA,0
"226",1,NA,0
"227",1,NA,0
"228",1,NA,0
"229",1,NA,0
"230",1,NA,0
"231",1,NA,0
"232",1,NA,0
"233",1,NA,0
"234",1,NA,0
"235",1,NA,0
"236",1,NA,0
"237",1,NA,0
"238",1,NA,0
"239",1,NA,0
"240",1,NA,0
"241",1,NA,0
"242",1,NA,0
"243",1,NA,0
"244",1,NA,0
"245",1,NA,0
"246",1,NA,0
"247",1,NA,0
"248",1,NA,0
"249",1,NA,0
"250",1,NA,0
"251",1,NA,0
"252",1,NA,0
"253",1,NA,0
"254",1,NA,0
"255",1,NA,0
"256",1,NA,0
"257",1,NA,0
"258",1,NA,0
"259",1,NA,0
"260",1,NA,0
"261",1,NA,0
"262",1,NA,0
"263",1,NA,0
"264",1,NA,0
"265",1,NA,0
"266",1,NA,0
"267",1,NA,0
"268",1,NA,0
"269",1,NA,0
"270",1,NA,0
"271",1,NA,0
"272",1,NA,0
"273",1,NA,0
"274",1,NA,0
"275",1,NA,0
"276",1,NA,0
"277",1,NA,0
"278",1,NA,0
"279",1,NA,0
"280",1,NA,0
"281",1,NA,0
"282",1,NA,0
"283",1,NA,0
"284",1,NA,0
"285",1,NA,0
"286",1,NA,0
"287",1,NA,0
"288",1,NA,0
"289",1,NA,0
"290",1,NA,0
"291",1,NA,0
"292",1,NA,0
"293",1,NA,0
"294",1,NA,0
"295",1,NA,0
"296",1,NA,0
"297",1,NA,0
"298",1,NA,0
"299",1,NA,0
"300",1,NA,0
"301",1,NA,0
"302",1,NA,0
"303",1,NA,0
"304",1,NA,0
"305",1,NA,0
"306",1,NA,0
"307",1,NA,0
"308",1,NA,0
"309",1,NA,0
"310",1,NA,0
"311",1,NA,0
"312",1,NA,0
"313",1,NA,0
"314",1,NA,0
"315",1,NA,0
"316",1,NA,0
"317",1,NA,0
"318",1,NA,0
"319",1,NA,0
"320",1,NA,0
"321",1,NA,0
"322",1,NA,0
"323",1,NA,0
"324",1,NA,0
"325",1,NA,0
"326",1,NA,0
"327",1,NA,0
"328",1,NA,0
"329",1,NA,0
"330",1,NA,0
"331",1,NA,0
"332",1,NA,0
"333",1,NA,0
"334",1,NA,0
"335",1,NA,0
"336",1,NA,0
"337",1,NA,0
"338",1,NA,0
"339",1,NA,0
"340",1,NA,0
"341",1,NA,0
"342",1,NA,0
"343",1,NA,0
"344",1,NA,0
"345",1,NA,0
"346",1,NA,0
"347",1,NA,0
"348",1,NA,0
"349",1,NA,0
"350",1,NA,0
"351",1,NA,0
"352",1,NA,0
"353",1,NA,0
"354",1,NA,0
"355",1,NA,0
"356",1,NA,0
"357",1,NA,0
"358",1,NA,0
"359",1,NA,0
"360",1,NA,0
"361",1,NA,0
"362",1,NA,0
"363",1,NA,0
"364",1,NA,0
"365",1,NA,0
"366",1,NA,0
"367",1,NA,0
"368",1,NA,0
"369",1,NA,0
"370",1,NA,0
"371",1,NA,0
"372",1,NA,0
"373",1,NA,0
"374",1,NA,0
"375",1,NA,0
"376",1,NA,0
"377",1,NA,0
"378",1,NA,0
"379",1,NA,0
"380",1,NA,0
"381",1,NA,0
"382",1,NA,0
"383",1,NA,0
"384",1,NA,0
"385",1,NA,0
"386",1,NA,0
"387",1,NA,0
"388",1,NA,0
"389",1,NA,0
"390",1,NA,0
"391",1,NA,0
"392",1,NA,0
"393",1,NA,0
"394",1,NA,0
"395",1,NA,0
"396",1,NA,0
"397",1,NA,0
"398",1,NA,0
"399",1,NA,0
"400",1,NA,0
"401",1,NA,0
"402",1,NA,0
"403",1,NA,0
"404",1,NA,0
"405",1,NA,0
"406",1,NA,0
"407",1,NA,0
"408",1,NA,0
"409",1,NA,0
"410",1,NA,0
"411",1,NA,0
"412",1,NA,0
"413",1,NA,0
"414",1,NA,0
"415",1,NA,0
"416",1,NA,0
"417",1,NA,0
"418",1,NA,0
"419",1,NA,0
"420",1,NA,0
"421",1,NA,0
"422",1,NA,0
"423",1,NA,0
"424",1,NA,0
"425",1,NA,0
"426",1,NA,0
"427",1,NA,0
"428",1,NA,0
"429",1,NA,0
"430",1,NA,0
"431",1,NA,0
"432",1,NA,0
"433",1,NA,0
"434",1,NA,1
"435",1,NA,1
"436",1,NA,1
"437",1,NA,1
"438",1,NA,1
"439",1,NA,1
"440",1,NA,1
"441",1,NA,1
"442",1,NA,1
"443",1,NA,1
"444",1,NA,1
"445",1,NA,1
"446",1,NA,1
"447",1,NA,1
"448",1,NA,1
"449",1,NA,1
"450",1,NA,1
"451",1,NA,1
"452",1,NA,1
"453",1,NA,1
"454",1,NA,1
"455",1,NA,1
"456",1,NA,1
"457",1,NA,1
"458",1,NA,1
"459",1,NA,1
"460",1,NA,1
"461",1,NA,1
"462",1,NA,1
"463",1,NA,1
"464",1,NA,1
"465",1,NA,1
"466",1,NA,1
"467",1,NA,1
"468",1,NA,1
"469",1,NA,1
"470",1,NA,1
"471",1,NA,1
"472",1,NA,1
"473",1,NA,1
"474",1,NA,1
"475",1,NA,1
"476",1,NA,1
"477",1,NA,1
"478",1,NA,1
"479",1,NA,1
"480",1,NA,1
"481",1,NA,1
"482",1,NA,1
"483",1,NA,1
"484",1,NA,1
"485",1,NA,1
"486",1,NA,1
"487",1,NA,1
"488",1,NA,1
"489",1,NA,1
"490",1,NA,1
"491",1,NA,1
"492",1,NA,1
"493",1,NA,1
"494",1,NA,1
"495",1,NA,1
"496",1,NA,1
"497",1,NA,1
"498",1,NA,1
"499",1,NA,1
"500",1,NA,1
"501",1,NA,1
"502",1,NA,1
"503",1,NA,1
"504",1,NA,1
"505",1,NA,1
"506",1,NA,1
"507",1,NA,1
"508",1,NA,1
"509",1,NA,1
"510",1,NA,1
"511",1,NA,1
"512",1,NA,1
"513",1,NA,1
"514",1,NA,1
"515",1,NA,1
"516",1,NA,1
"517",1,NA,1
"518",1,NA,1
"519",1,NA,1
"520",1,NA,1
"521",1,NA,1
"522",1,NA,1
"523",1,NA,1
"524",1,NA,1
"525",1,NA,1
"526",1,NA,1
"527",1,NA,1
"528",1,NA,1
"529",1,NA,1
"530",1,NA,1
"531",1,NA,1
"532",1,NA,1
"533",1,NA,1
"534",1,NA,1
"535",1,NA,1
"536",1,NA,1
"537",1,NA,1
"538",1,NA,1
"539",1,NA,1
"540",1,NA,1
"541",1,NA,1
"542",1,NA,1
"543",1,NA,1
"544",1,NA,1
"545",1,NA,1
"546",1,NA,1
"547",1,NA,1
"548",1,NA,1
"549",1,NA,1
"550",1,NA,1
"551",1,NA,1
"552",1,NA,1
"553",1,NA,1
"554",1,NA,1
"555",1,NA,1
"556",1,NA,1
"557",1,NA,1
"558",1,NA,1
"559",1,NA,1
"560",1,NA,1
"561",1,NA,1
"562",1,NA,1
"563",1,NA,1
"564",1,NA,1
"565",1,NA,1
"566",1,NA,1
"567",1,NA,1
"568",1,NA,1
"569",1,NA,1
"570",1,NA,1
"571",1,NA,1
"572",1,NA,1
"573",1,NA,1
"574",1,NA,1
"575",1,NA,1
"576",1,NA,1
"577",1,NA,1
"578",1,NA,1
"579",1,NA,1
"580",1,NA,1
"581",1,NA,1
"582",1,NA,1
"583",1,NA,1
"584",1,NA,1
"585",1,NA,1
"586",1,NA,1
"587",1,NA,1
"588",1,NA,1
"589",1,NA,1
"590",1,NA,1
"591",1,NA,1
"592",1,NA,1
"593",1,NA,1
"594",1,NA,1
"595",1,NA,1
"596",1,NA,1
"597",1,NA,1
"598",1,NA,1
"599",1,NA,1
"600",1,NA,1
"601",1,NA,1
"602",1,NA,1
"603",1,NA,1
"604",1,NA,1
"605",1,NA,1
"606",1,NA,1
"607",1,NA,1
"608",1,NA,1
"609",1,NA,1
"610",1,NA,1
"611",1,NA,1
"612",1,NA,1
"613",1,NA,1
"614",1,NA,1
"615",1,NA,1
"616",1,NA,1
"617",1,NA,1
"618",1,NA,1
"619",1,NA,1
"620",1,NA,1
"621",1,NA,1
"622",1,NA,1
"623",1,NA,1
"624",1,NA,1
"625",1,NA,1
"626",1,NA,1
"627",1,NA,1
"628",1,NA,1
"629",1,NA,1
"630",1,NA,1
"631",1,NA,1
"632",1,NA,1
"633",1,NA,1
"634",1,NA,1
"635",1,NA,1
"636",1,NA,1
"637",1,NA,1
"638",1,NA,1
"639",1,NA,1
"640",1,NA,1
"641",1,NA,1
"642",1,NA,1
"643",1,NA,1
"644",1,NA,1
"645",1,NA,1
"646",1,NA,1
"647",1,NA,1
"648",1,NA,1
"649",1,NA,1
"650",1,NA,1
"651",1,NA,1
"652",1,NA,1
"653",1,NA,1
"654",1,NA,1
"655",1,NA,1
"656",1,NA,1
"657",1,NA,1
"658",1,NA,1
"659",1,NA,1
"660",1,NA,1
"661",1,NA,1
"662",1,NA,1
"663",1,NA,1
"664",1,NA,1
"665",1,NA,1
"666",1,NA,1
"667",1,NA,1
"668",1,NA,1
"669",1,NA,1
"670",1,NA,1
"671",1,NA,1
"672",1,NA,1
"673",1,NA,1
"674",1,NA,1
"675",1,NA,1
"676",1,NA,1
"677",1,NA,1
"678",1,NA,1
"679",1,NA,1
"680",1,NA,1
"681",1,NA,1
"682",1,NA,1
"683",1,NA,1
"684",1,NA,1
"685",1,NA,1
"686",1,NA,1
"687",1,NA,1
"688",1,NA,1
"689",1,NA,1
"690",1,NA,1
"691",1,NA,1
"692",1,NA,1
"693",1,NA,1
"694",1,NA,1
"695",1,NA,1
"696",1,NA,1
"697",1,NA,1
"698",1,NA,1
"699",1,NA,1
"700",1,NA,1
"701",1,NA,1
"702",1,NA,1
"703",1,NA,1
"704",1,NA,1
"705",1,NA,1
