"LV.type","numberOfLaunches","numberOfFailures"
"1",6,4
"2",4,0
"3",11,7
"4",2,1
"5",1,0
"6",10,0
"7",8,1
"8",2,1
"9",11,10
"10",7,2
"11",8,7
"12",6,2
"13",10,9
"14",5,4
"15",4,2
"16",10,9
"17",6,4
"18",10,5
"19",5,0
"20",9,8
"21",2,1
"22",1,0
"23",3,0
"24",2,1
"25",8,0
"26",5,2
"27",8,3
"28",10,3
"29",11,4
"30",11,7
"31",5,2
"32",9,3
"33",6,5
"34",8,6
"35",1,0
"36",6,2
"37",11,4
"38",8,3
"39",2,1
"40",11,9
"41",6,3
"42",5,1
"43",4,2
"44",5,1
"45",9,5
"46",3,1
"47",6,1
"48",6,4
"49",7,1
"50",6,4
"51",1,0
"52",7,6
"53",5,0
"54",3,0
"55",4,2
"56",11,9
"57",11,9
"58",5,2
"59",9,5
"60",3,0
"61",7,2
"62",7,2
"63",6,2
"64",10,4
"65",5,3
"66",4,0
"67",10,1
"68",2,0
"69",1,0
"70",5,2
"71",8,5
"72",11,4
"73",4,0
"74",3,2
"75",2,0
"76",9,0
"77",12,6
"78",9,8
"79",11,6
"80",6,5
"81",10,3
"82",12,8
"83",11,5
"84",7,5
"85",1,0
"86",10,8
"87",9,4
"88",9,5
"89",2,1
"90",7,1
"91",5,3
"92",4,1
"93",7,0
"94",8,0
"95",12,10
"96",10,6
"97",1,0
"98",12,6
"99",4,1
"100",11,9
"101",5,4
"102",7,0
"103",6,1
"104",10,5
"105",6,0
"106",3,1
"107",11,4
"108",3,2
"109",4,1
"110",7,1
"111",2,0
"112",9,7
"113",6,4
"114",4,1
"115",7,2
"116",6,2
"117",10,1
"118",4,2
"119",2,1
"120",4,1
"121",5,4
"122",4,2
"123",7,0
"124",7,1
"125",12,4
"126",10,0
"127",8,0
"128",11,9
"129",4,0
"130",8,7
"131",12,8
"132",12,1
"133",9,2
"134",11,4
"135",6,5
"136",9,1
"137",12,10
"138",6,4
"139",3,1
"140",6,3
"141",5,3
"142",11,8
"143",10,3
"144",2,0
"145",9,8
"146",6,2
"147",4,1
"148",10,8
"149",11,8
"150",1,0
"151",5,1
"152",9,3
"153",9,1
"154",8,7
"155",3,2
"156",2,1
"157",7,2
"158",4,0
"159",12,2
"160",2,0
"161",8,3
"162",2,0
"163",8,2
"164",1,0
"165",10,1
"166",5,4
"167",11,8
"168",1,0
"169",7,0
"170",12,9
"171",12,6
"172",4,0
"173",7,1
"174",1,0
"175",3,1
"176",1,0
"177",5,2
"178",5,0
"179",9,3
"180",2,0
"181",1,0
"182",6,5
"183",9,3
"184",8,3
"185",9,2
"186",8,3
"187",6,5
"188",12,0
"189",3,0
"190",9,3
"191",12,0
"192",6,1
"193",3,0
"194",11,5
"195",6,3
"196",2,1
"197",9,2
"198",1,0
"199",10,6
"200",6,0
