"LV.type","numberOfLaunches","numberOfFailures"
"1",3,2
"2",12,6
"3",11,2
"4",2,1
"5",5,0
"6",6,0
"7",8,4
"8",4,3
"9",2,0
"10",4,2
"11",8,6
"12",9,0
"13",10,7
"14",2,0
"15",4,1
"16",7,0
"17",1,0
"18",7,3
"19",3,2
"20",11,6
"21",1,0
"22",5,4
"23",10,7
"24",9,1
"25",10,2
"26",12,2
"27",4,3
"28",8,2
"29",11,6
"30",4,2
"31",10,9
"32",3,1
"33",1,0
"34",7,3
"35",3,1
"36",10,3
"37",1,0
"38",9,4
"39",3,2
"40",5,3
"41",3,0
"42",10,4
"43",5,0
"44",10,0
"45",8,1
"46",1,0
"47",3,0
"48",6,3
"49",7,5
"50",10,3
"51",11,3
"52",12,4
"53",2,0
"54",3,1
"55",12,8
"56",12,10
"57",10,3
"58",5,3
"59",9,6
"60",1,0
"61",9,6
"62",11,8
"63",9,7
"64",11,4
"65",1,0
"66",6,5
"67",2,0
"68",2,0
"69",6,1
"70",8,7
"71",7,6
"72",4,3
"73",5,2
"74",7,4
"75",5,3
"76",2,0
"77",7,3
"78",2,1
"79",7,3
"80",9,7
"81",11,7
"82",4,3
"83",11,0
"84",8,4
"85",6,3
"86",2,0
"87",3,0
"88",11,9
"89",4,3
"90",11,7
"91",4,2
"92",2,0
"93",7,1
"94",9,3
"95",11,8
"96",8,6
"97",8,2
"98",6,4
"99",6,2
"100",12,5
"101",3,2
"102",8,1
"103",2,1
"104",7,0
"105",7,4
"106",3,0
"107",1,0
"108",11,6
"109",11,10
"110",4,0
"111",5,3
"112",11,3
"113",4,3
"114",9,2
"115",4,3
"116",10,9
"117",3,1
"118",5,1
"119",6,3
"120",12,2
"121",3,2
"122",8,7
"123",11,10
"124",5,4
"125",10,0
"126",4,3
"127",4,0
"128",9,1
"129",3,0
"130",8,5
"131",12,2
"132",12,3
"133",7,1
"134",9,0
"135",3,2
"136",11,1
"137",1,0
"138",10,0
"139",10,5
"140",11,1
"141",8,1
"142",7,5
"143",3,0
"144",10,4
"145",11,6
"146",4,2
"147",6,0
"148",5,0
"149",1,0
"150",9,6
"151",10,3
"152",12,9
"153",11,8
"154",10,3
"155",4,3
"156",7,6
"157",9,6
"158",6,0
"159",7,6
"160",1,0
"161",2,1
"162",9,7
"163",2,1
"164",9,8
"165",6,4
"166",4,0
"167",9,0
"168",11,1
"169",8,3
"170",9,8
"171",8,6
"172",5,4
"173",12,9
"174",2,0
"175",6,3
"176",5,0
"177",8,4
"178",1,0
"179",9,7
"180",10,1
"181",5,1
"182",1,0
"183",2,1
"184",5,0
"185",6,2
"186",3,0
"187",9,3
"188",6,2
"189",8,0
"190",4,2
"191",9,7
"192",3,2
"193",5,4
"194",6,5
"195",2,1
"196",4,0
"197",9,1
"198",3,1
"199",8,1
"200",12,2
"201",7,0
"202",3,1
"203",2,1
"204",3,1
"205",5,1
"206",6,4
"207",5,3
"208",1,0
"209",10,7
"210",11,1
"211",7,4
"212",8,6
"213",3,2
"214",9,6
"215",4,1
"216",8,3
"217",5,0
"218",8,2
"219",3,2
"220",10,4
"221",8,4
"222",9,8
