"","LV.type","numberOfLaunches","numberOfFailures"
"1","1",5,3
"2","2",6,2
"3","3",7,2
"4","4",4,1
"5","5",7,2
"6","6",8,5
"7","7",9,5
"8","8",3,0
"9","9",3,2
"10","10",4,2
"11","11",3,2
"12","12",9,0
"13","13",9,5
"14","14",6,0
"15","15",4,1
"16","16",10,0
"17","17",10,8
"18","18",9,4
"19","19",4,2
"20","20",8,2
"21","21",10,0
"22","22",9,7
"23","23",12,3
"24","24",8,4
"25","25",10,0
"26","26",12,4
"27","27",11,1
"28","28",2,0
"29","29",11,1
"30","30",7,6
"31","31",2,0
"32","32",8,6
"33","33",4,0
"34","34",4,1
"35","35",10,2
"36","36",2,0
"37","37",7,4
"38","38",2,1
"39","39",1,0
"40","40",2,0
"41","41",4,1
"42","42",7,5
"43","43",6,5
"44","44",12,11
"45","45",8,2
"46","46",10,1
"47","47",7,5
"48","48",12,7
"49","49",1,0
"50","50",8,7
"51","51",9,4
"52","52",5,1
"53","53",6,0
"54","54",8,7
"55","55",3,0
"56","56",4,1
"57","57",8,0
"58","58",5,2
"59","59",7,1
"60","60",8,6
"61","61",4,0
"62","62",11,9
"63","63",4,1
"64","64",3,0
"65","65",7,1
"66","66",9,8
"67","67",11,5
"68","68",12,6
"69","69",8,3
"70","70",2,0
"71","71",1,0
"72","72",4,2
"73","73",5,4
"74","74",12,8
"75","75",10,0
"76","76",4,3
"77","77",5,2
"78","78",2,1
"79","79",8,7
"80","80",4,0
"81","81",11,6
"82","82",3,0
"83","83",12,11
"84","84",6,3
"85","85",3,2
"86","86",1,0
"87","87",3,2
"88","88",4,3
"89","89",5,4
"90","90",6,4
"91","91",8,5
"92","92",8,5
"93","93",8,2
"94","94",1,0
"95","95",3,2
"96","96",2,1
"97","97",10,6
"98","98",2,0
"99","99",5,0
"100","100",10,0
"101","101",11,10
"102","102",3,2
"103","103",11,10
"104","104",3,0
"105","105",3,0
"106","106",3,2
"107","107",5,0
"108","108",8,5
"109","109",12,3
"110","110",11,4
"111","111",7,4
"112","112",9,0
"113","113",11,4
"114","114",1,0
"115","115",4,1
"116","116",5,4
"117","117",5,1
"118","118",9,5
"119","119",2,0
"120","120",1,0
"121","121",8,2
"122","122",3,1
"123","123",4,2
"124","124",8,5
"125","125",10,7
"126","126",4,3
"127","127",8,3
"128","128",11,1
"129","129",5,4
"130","130",10,7
"131","131",12,2
"132","132",3,0
"133","133",7,2
"134","134",12,5
"135","135",11,0
"136","136",5,0
"137","137",8,4
"138","138",4,2
"139","139",4,2
"140","140",9,3
"141","141",4,3
"142","142",4,2
"143","143",7,4
"144","144",1,0
"145","145",2,1
"146","146",12,5
"147","147",9,7
"148","148",1,0
"149","149",1,0
"150","150",11,2
"151","151",9,1
"152","152",10,0
"153","153",1,0
"154","154",3,0
"155","155",12,7
"156","156",3,2
"157","157",2,0
"158","158",9,3
"159","159",7,2
"160","160",6,3
"161","161",11,8
"162","162",3,1
"163","163",11,10
"164","164",10,4
"165","165",9,3
"166","166",10,3
"167","167",7,3
"168","168",3,1
"169","169",11,4
"170","170",2,0
"171","171",2,1
"172","172",4,1
"173","173",8,7
"174","174",8,1
"175","175",10,8
"176","176",7,4
"177","177",10,3
"178","178",2,1
"179","179",6,0
"180","180",4,1
"181","181",9,4
"182","182",12,8
"183","183",8,4
"184","184",2,1
"185","185",10,7
"186","186",4,3
"187","187",9,4
"188","188",7,2
"189","189",2,0
"190","190",1,0
"191","191",12,6
"192","192",5,1
"193","193",5,1
"194","194",3,1
"195","195",9,8
"196","196",10,5
"197","197",9,2
"198","198",11,4
"199","199",4,2
"200","200",4,2
"201","201",9,6
"202","202",4,1
"203","203",11,0
"204","204",2,0
"205","205",10,6
"206","206",11,2
"207","207",11,9
"208","208",5,1
"209","209",8,0
"210","210",10,4
"211","211",11,2
"212","212",10,5
"213","213",3,1
"214","214",5,4
"215","215",2,0
"216","216",1,0
"217","217",1,0
"218","218",7,5
"219","219",1,0
"220","220",8,5
"221","221",4,1
"222","222",1,0
"223","223",5,0
"224","224",3,0
"225","225",9,2
"226","226",9,4
"227","227",5,3
"228","228",5,4
"229","229",4,0
"230","230",2,0
"231","231",12,11
"232","232",1,0
"233","233",11,7
"234","234",5,4
"235","235",8,1
"236","236",6,2
"237","237",2,1
"238","238",8,0
"239","239",11,4
"240","240",11,4
"241","241",5,0
"242","242",12,10
"243","243",11,10
"244","244",1,0
"245","245",12,4
"246","246",4,3
"247","247",3,1
"248","248",10,2
"249","249",12,0
"250","250",1,0
"251","251",5,0
"252","252",3,2
"253","253",2,1
"254","254",5,1
"255","255",5,1
"256","256",11,0
"257","257",1,0
"258","258",3,1
"259","259",4,1
"260","260",3,2
"261","261",6,2
"262","262",3,2
"263","263",9,4
"264","264",11,9
"265","265",9,1
"266","266",6,4
"267","267",4,3
"268","268",12,9
"269","269",10,2
"270","270",4,0
"271","271",1,0
"272","272",10,8
"273","273",9,6
"274","274",12,8
"275","275",12,10
"276","276",1,0
"277","277",9,4
"278","278",7,0
"279","279",8,7
"280","280",3,2
"281","281",3,2
"282","282",8,6
"283","283",8,3
"284","284",2,0
"285","285",3,2
"286","286",5,2
"287","287",4,1
"288","288",2,1
"289","289",7,6
"290","290",4,3
"291","291",9,4
"292","292",5,4
"293","293",3,0
"294","294",4,1
"295","295",1,0
"296","296",3,0
"297","297",6,2
"298","298",4,1
"299","299",7,2
"300","300",9,1
