"LV.type","numberOfLaunches","numberOfFailures"
"1",5,4
"2",3,0
"3",5,3
"4",12,2
"5",5,2
"6",1,0
"7",5,2
"8",9,2
"9",2,1
"10",10,8
"11",6,4
"12",5,3
"13",6,1
"14",12,1
"15",6,4
"16",8,6
"17",7,1
"18",4,0
"19",3,0
"20",9,5
"21",4,2
"22",9,6
"23",6,1
"24",2,0
"25",5,0
"26",2,1
"27",6,5
"28",1,0
"29",1,0
"30",5,3
"31",9,8
"32",4,3
"33",6,4
"34",5,0
"35",2,1
"36",11,3
"37",4,3
"38",5,0
"39",8,6
"40",1,0
"41",4,1
"42",10,4
"43",3,1
"44",7,3
"45",9,0
"46",5,1
"47",6,4
"48",7,3
"49",5,3
"50",8,6
"51",7,4
"52",6,1
"53",5,4
"54",3,2
"55",8,1
"56",10,8
"57",5,1
"58",10,1
"59",1,0
"60",11,9
"61",2,1
"62",8,1
"63",2,1
"64",10,1
"65",2,0
"66",8,6
"67",7,0
"68",9,7
"69",5,1
"70",12,6
"71",7,3
"72",11,4
"73",9,4
"74",7,2
"75",11,10
"76",6,1
"77",7,2
"78",11,6
"79",3,1
"80",3,0
"81",9,5
"82",9,6
"83",5,4
"84",10,5
"85",11,8
"86",4,3
"87",7,1
"88",3,1
"89",6,1
"90",7,4
"91",12,5
"92",2,0
"93",6,0
"94",7,0
"95",7,4
"96",12,4
"97",12,7
"98",3,1
"99",6,3
"100",3,2
"101",3,2
"102",3,2
"103",7,3
"104",4,0
"105",3,0
"106",2,1
"107",3,0
"108",8,5
"109",12,10
"110",9,1
"111",4,2
"112",3,0
"113",3,2
"114",3,1
"115",5,4
"116",2,1
"117",2,1
"118",7,1
"119",5,3
"120",1,0
"121",2,1
"122",11,6
"123",12,1
"124",1,0
"125",2,1
"126",12,11
"127",3,0
"128",4,2
"129",8,0
"130",9,3
"131",8,2
"132",3,2
"133",6,4
"134",9,7
"135",4,2
"136",6,1
"137",8,4
"138",6,4
"139",2,1
"140",10,6
"141",10,0
"142",2,0
"143",4,3
"144",9,0
"145",8,4
"146",6,0
"147",7,6
"148",4,0
"149",3,2
"150",8,6
"151",1,0
"152",3,2
"153",10,5
"154",7,1
"155",6,4
"156",6,2
"157",3,2
"158",6,2
"159",11,3
"160",11,5
"161",12,3
"162",12,8
"163",12,6
"164",9,5
"165",12,5
"166",1,0
"167",1,0
"168",12,11
"169",2,0
"170",8,3
"171",10,5
"172",12,10
"173",8,5
"174",9,4
"175",8,0
"176",12,9
"177",9,3
"178",12,8
"179",12,5
"180",9,6
"181",11,2
"182",10,4
"183",5,0
"184",9,1
"185",4,1
"186",9,4
"187",4,0
"188",7,4
"189",5,0
"190",3,2
"191",11,2
"192",10,2
"193",6,1
"194",5,1
"195",7,5
"196",6,2
"197",6,5
"198",11,9
"199",8,1
"200",5,3
"201",12,6
"202",10,4
"203",1,0
"204",1,0
"205",11,2
"206",11,5
"207",6,4
"208",10,7
"209",7,2
"210",9,0
"211",1,0
"212",2,0
"213",8,0
"214",6,3
"215",12,10
"216",1,0
"217",11,7
"218",9,8
"219",12,0
"220",1,0
"221",3,2
"222",4,0
"223",10,3
"224",12,11
"225",8,0
"226",4,1
"227",2,0
"228",2,1
"229",3,1
"230",8,4
"231",12,2
"232",10,4
"233",7,2
"234",9,0
"235",1,0
"236",9,7
"237",10,0
"238",11,4
"239",5,4
"240",8,3
"241",11,9
"242",1,0
"243",7,6
"244",11,8
"245",3,0
"246",6,0
"247",10,9
"248",3,0
"249",3,0
"250",8,4
"251",3,1
"252",5,1
"253",11,4
"254",11,1
"255",4,3
"256",11,7
"257",11,4
"258",3,0
"259",5,0
"260",3,1
"261",10,1
"262",7,2
"263",12,2
"264",2,1
"265",1,0
"266",4,2
"267",6,0
"268",2,0
"269",11,9
"270",10,6
"271",4,3
"272",4,3
"273",8,5
"274",12,9
"275",7,2
"276",7,0
"277",12,7
"278",10,8
"279",11,1
"280",5,0
"281",4,2
"282",8,6
"283",2,0
"284",1,0
"285",1,0
"286",4,2
"287",11,3
"288",1,0
"289",6,5
"290",11,6
"291",10,5
"292",3,0
"293",1,0
"294",10,4
"295",1,0
"296",6,0
"297",10,4
"298",7,4
"299",5,2
"300",4,3
