"LV.type","numberOfLaunches","numberOfFailures"
"1",11,9
"2",8,6
"3",1,0
"4",5,2
"5",5,1
"6",12,8
"7",1,0
"8",11,1
"9",8,3
"10",4,3
"11",9,4
"12",12,7
"13",3,0
"14",2,0
"15",5,3
"16",1,0
"17",7,5
"18",5,3
"19",4,3
"20",9,2
"21",4,2
"22",10,2
"23",5,0
"24",12,6
"25",3,1
"26",3,0
"27",9,5
"28",2,0
"29",4,3
"30",5,1
"31",12,2
"32",2,1
"33",4,3
"34",12,6
"35",1,0
"36",5,1
"37",1,0
"38",6,2
"39",8,0
"40",6,1
"41",8,5
"42",1,0
"43",11,2
"44",10,3
"45",6,5
"46",4,2
"47",4,3
"48",1,0
"49",10,4
"50",11,10
"51",8,5
"52",2,1
"53",8,3
"54",2,0
"55",12,2
"56",12,8
"57",7,0
"58",7,1
"59",4,1
"60",8,3
"61",3,1
"62",1,0
"63",8,7
"64",6,2
"65",10,7
"66",9,1
"67",2,1
"68",12,1
"69",7,0
"70",12,4
"71",5,1
"72",9,5
"73",3,1
"74",8,7
"75",3,1
"76",11,6
"77",2,0
"78",2,1
"79",11,9
"80",6,5
"81",3,2
"82",4,3
"83",6,3
"84",4,0
"85",11,3
"86",4,3
"87",1,0
"88",9,5
"89",4,0
"90",4,1
"91",7,4
"92",11,10
"93",8,4
"94",2,0
"95",7,1
"96",9,1
"97",5,1
"98",1,0
"99",11,9
"100",12,8
"101",6,5
"102",2,1
"103",7,1
"104",5,3
"105",5,4
"106",6,2
"107",10,5
"108",3,2
"109",3,1
"110",11,10
"111",10,8
"112",10,8
"113",2,1
"114",1,0
"115",4,1
"116",6,5
"117",12,1
"118",7,2
"119",6,5
"120",7,1
"121",4,3
"122",4,1
"123",8,4
"124",1,0
"125",7,5
"126",7,5
"127",8,5
"128",5,2
"129",4,2
"130",1,0
"131",4,2
"132",1,0
"133",7,1
"134",1,0
"135",6,2
"136",5,4
"137",7,2
"138",3,2
"139",8,1
"140",8,4
"141",11,5
"142",11,6
"143",3,2
"144",2,1
"145",7,1
"146",5,0
"147",9,5
"148",1,0
"149",9,5
"150",3,1
"151",4,1
"152",5,1
"153",5,2
"154",7,1
"155",4,2
"156",1,0
"157",9,2
"158",7,1
"159",9,8
"160",10,1
"161",1,0
"162",1,0
"163",10,1
"164",2,0
"165",9,5
"166",10,7
"167",3,1
"168",11,6
"169",12,5
"170",1,0
"171",3,1
"172",1,0
"173",2,1
"174",2,1
"175",10,5
"176",4,2
"177",1,0
"178",2,1
"179",9,1
"180",5,0
"181",3,1
"182",9,7
"183",1,0
"184",3,1
"185",5,4
"186",3,0
"187",12,3
"188",9,4
"189",10,1
"190",5,1
"191",9,1
"192",3,2
"193",1,0
"194",12,4
"195",1,0
"196",10,7
"197",10,0
"198",7,6
"199",9,5
"200",7,3
"201",8,5
"202",5,3
"203",7,1
"204",3,0
"205",4,3
"206",12,11
"207",4,1
"208",4,0
"209",7,0
"210",8,7
"211",1,0
"212",10,3
"213",7,3
"214",10,6
"215",8,0
"216",10,0
"217",2,1
"218",8,3
"219",4,3
"220",5,2
"221",11,2
"222",2,0
"223",9,1
"224",11,2
"225",10,8
"226",11,6
"227",8,4
"228",10,3
"229",4,2
"230",12,11
"231",10,9
"232",1,0
"233",3,0
"234",11,0
"235",8,1
"236",10,6
"237",6,0
"238",6,2
"239",8,6
"240",11,8
"241",2,0
"242",8,0
"243",12,9
"244",1,0
"245",5,2
"246",1,0
"247",2,0
"248",11,1
"249",3,2
"250",5,1
"251",11,8
"252",12,4
"253",8,2
"254",12,5
"255",5,4
"256",2,1
"257",9,6
"258",1,0
"259",12,7
"260",1,0
"261",2,1
"262",4,3
"263",7,0
"264",2,0
"265",9,1
"266",12,1
"267",12,0
"268",3,1
"269",11,3
"270",7,0
"271",8,6
"272",4,1
"273",8,1
"274",9,7
"275",1,0
"276",5,0
"277",6,1
"278",8,7
"279",5,0
"280",1,0
"281",6,1
"282",11,2
"283",10,8
"284",11,3
"285",9,4
"286",1,0
"287",3,2
"288",11,0
"289",10,3
"290",7,1
"291",2,0
"292",7,4
"293",9,1
"294",1,0
"295",10,7
"296",10,4
"297",7,2
"298",5,3
"299",2,0
"300",12,4
"301",8,1
"302",6,3
"303",8,1
"304",7,2
"305",7,3
"306",4,1
"307",3,0
"308",11,5
"309",6,3
"310",11,5
"311",1,0
"312",10,6
"313",7,3
"314",2,1
"315",8,4
"316",10,3
"317",3,1
"318",5,4
"319",11,9
"320",5,2
"321",12,9
"322",12,10
"323",2,0
"324",1,0
"325",1,0
"326",4,2
"327",2,1
"328",2,1
"329",8,5
"330",12,11
"331",3,2
"332",10,6
"333",11,8
"334",5,3
"335",6,0
"336",6,2
"337",1,0
"338",6,0
"339",2,0
"340",1,0
"341",11,2
"342",12,2
"343",4,1
"344",4,0
"345",1,0
"346",4,3
"347",5,2
"348",10,1
"349",1,0
"350",9,5
"351",12,11
"352",10,5
"353",6,5
"354",1,0
"355",8,2
"356",7,4
"357",1,0
"358",12,7
"359",11,7
"360",6,2
"361",9,0
"362",2,1
"363",4,3
"364",7,1
"365",1,0
"366",11,3
"367",3,2
"368",7,5
"369",7,4
"370",1,0
"371",10,5
"372",9,2
"373",11,3
"374",6,4
"375",11,2
"376",2,0
"377",3,1
"378",12,0
"379",11,1
"380",6,3
"381",5,4
"382",11,6
"383",7,2
"384",4,3
"385",2,1
"386",9,7
"387",3,0
"388",4,0
"389",9,7
"390",5,3
"391",4,2
"392",11,8
"393",11,3
"394",6,5
"395",9,3
"396",9,3
"397",4,2
"398",6,0
"399",2,0
"400",5,1
"401",4,0
"402",12,2
"403",9,8
"404",10,7
"405",5,3
"406",4,3
"407",4,3
"408",4,1
"409",10,2
"410",1,0
"411",3,2
"412",10,5
"413",9,1
"414",7,0
"415",12,1
"416",11,2
"417",12,9
"418",8,2
"419",2,1
"420",5,1
"421",10,6
"422",10,9
"423",10,7
"424",6,1
"425",9,7
"426",7,0
"427",1,0
"428",7,4
"429",4,2
"430",8,7
"431",9,2
"432",5,2
"433",6,1
"434",4,1
"435",5,1
"436",3,0
"437",7,2
"438",3,1
"439",12,2
"440",12,7
"441",4,3
"442",10,4
"443",5,4
"444",4,2
"445",10,3
"446",7,6
"447",4,1
"448",8,7
"449",10,8
"450",9,3
"451",6,1
"452",2,0
"453",3,1
"454",6,2
"455",12,0
"456",11,3
"457",7,5
"458",7,2
"459",11,10
"460",3,1
"461",1,0
"462",5,0
"463",6,3
"464",6,4
"465",5,1
"466",6,5
"467",9,7
"468",8,2
"469",10,5
"470",6,4
"471",12,1
"472",9,3
"473",8,4
"474",10,7
"475",2,1
"476",9,3
"477",12,2
"478",11,7
"479",9,5
"480",2,1
"481",8,4
"482",9,6
"483",2,1
"484",6,4
"485",2,0
"486",3,2
"487",8,5
"488",4,2
"489",4,0
"490",8,4
"491",11,6
"492",8,3
"493",6,2
"494",3,2
"495",12,9
"496",7,1
"497",1,0
"498",2,0
"499",1,0
"500",5,0
"501",2,1
"502",8,3
"503",5,2
"504",2,0
"505",6,0
"506",9,1
"507",12,11
"508",11,5
"509",1,0
"510",11,10
"511",8,3
"512",10,1
"513",2,1
"514",2,1
"515",11,0
"516",12,0
"517",7,1
"518",2,1
"519",1,0
"520",3,0
"521",11,2
"522",5,3
"523",4,1
"524",9,8
"525",1,0
"526",6,2
"527",9,1
"528",6,3
"529",1,0
"530",11,6
"531",10,1
"532",8,4
"533",1,0
"534",6,0
