"LV.type","numberOfLaunches","numberOfFailures"
"1",3,2
"2",12,6
"3",1,0
"4",6,3
"5",1,0
"6",7,5
"7",7,2
"8",7,5
"9",12,10
"10",12,5
"11",11,8
"12",12,7
"13",6,5
"14",9,4
"15",8,4
"16",7,3
"17",6,0
"18",3,0
"19",8,3
"20",8,7
"21",4,2
"22",9,2
"23",1,0
"24",4,0
"25",5,2
"26",3,0
"27",3,0
"28",2,0
"29",7,2
"30",5,4
"31",4,1
"32",5,0
"33",1,0
"34",4,2
"35",4,3
"36",1,0
"37",1,0
"38",6,5
"39",4,0
"40",11,10
"41",2,1
"42",3,0
"43",10,0
"44",9,2
"45",12,10
"46",4,3
"47",5,0
"48",2,0
"49",6,5
"50",12,7
"51",1,0
"52",1,0
"53",12,5
"54",5,2
"55",7,4
"56",6,0
"57",3,2
"58",6,5
"59",9,3
"60",8,3
"61",10,5
"62",5,1
"63",10,7
"64",6,5
"65",5,2
"66",1,0
"67",10,6
"68",6,3
"69",12,8
"70",7,4
"71",3,2
"72",1,0
"73",6,5
"74",10,8
"75",11,1
"76",6,3
"77",11,2
"78",4,0
"79",11,2
"80",6,1
"81",9,4
"82",5,4
"83",1,0
"84",7,0
"85",11,3
"86",7,3
"87",12,7
"88",6,1
"89",6,4
"90",6,0
"91",5,3
"92",12,0
"93",9,4
"94",8,6
"95",9,5
"96",10,0
"97",6,1
"98",10,3
"99",9,5
"100",7,0
