"","LV.type","numberOfLaunches","numberOfFailures"
"1","1",4,2
"2","2",1,0
"3","3",7,2
"4","4",10,3
"5","5",9,8
"6","6",2,0
"7","7",6,3
"8","8",10,3
"9","9",7,4
"10","10",6,4
"11","11",1,0
"12","12",6,1
"13","13",2,0
"14","14",10,2
"15","15",8,3
"16","16",3,0
"17","17",4,0
"18","18",10,3
"19","19",7,3
"20","20",4,1
"21","21",12,1
"22","22",3,0
"23","23",8,4
"24","24",10,6
"25","25",8,6
"26","26",7,2
"27","27",7,5
"28","28",10,4
"29","29",10,0
"30","30",5,2
"31","31",12,9
"32","32",9,0
"33","33",12,3
"34","34",5,1
"35","35",2,1
"36","36",12,1
"37","37",10,9
"38","38",4,3
"39","39",11,3
"40","40",12,11
"41","41",6,0
"42","42",4,0
"43","43",9,5
"44","44",2,1
"45","45",9,2
"46","46",12,3
"47","47",4,2
"48","48",11,9
"49","49",12,0
"50","50",3,0
"51","51",3,0
"52","52",9,2
"53","53",7,4
"54","54",1,0
"55","55",7,1
"56","56",10,1
"57","57",5,4
"58","58",11,5
"59","59",12,7
"60","60",2,0
"61","61",3,0
"62","62",2,0
"63","63",6,2
"64","64",7,0
"65","65",11,2
"66","66",8,3
"67","67",1,0
"68","68",9,0
"69","69",7,2
"70","70",6,3
"71","71",7,1
"72","72",1,0
"73","73",12,10
"74","74",12,5
"75","75",8,4
"76","76",9,0
"77","77",12,6
"78","78",8,0
"79","79",1,0
"80","80",5,0
"81","81",10,2
"82","82",11,6
"83","83",2,1
"84","84",7,4
"85","85",12,10
"86","86",8,3
"87","87",11,7
"88","88",6,4
"89","89",7,4
"90","90",8,6
"91","91",4,3
"92","92",6,4
"93","93",1,0
"94","94",11,7
"95","95",10,7
"96","96",1,0
"97","97",7,0
"98","98",9,6
"99","99",8,5
"100","100",9,0
"101","101",12,6
"102","102",11,2
"103","103",12,0
"104","104",10,8
"105","105",7,0
"106","106",11,0
"107","107",4,0
"108","108",9,0
"109","109",8,2
"110","110",11,0
"111","111",9,2
"112","112",6,5
"113","113",1,0
"114","114",4,0
"115","115",5,0
"116","116",4,2
"117","117",4,0
"118","118",11,6
"119","119",8,7
"120","120",3,2
"121","121",2,1
"122","122",12,7
"123","123",1,0
"124","124",5,4
"125","125",6,5
"126","126",12,5
"127","127",5,3
"128","128",4,2
"129","129",2,0
"130","130",5,4
"131","131",9,4
"132","132",8,1
"133","133",5,0
"134","134",4,3
"135","135",8,6
"136","136",6,0
"137","137",6,2
"138","138",10,5
"139","139",1,0
"140","140",12,2
"141","141",2,1
"142","142",9,7
"143","143",5,4
"144","144",10,1
"145","145",11,7
"146","146",7,6
"147","147",5,4
"148","148",12,3
"149","149",4,1
"150","150",6,2
"151","151",1,0
"152","152",5,3
"153","153",10,2
"154","154",9,1
"155","155",3,1
"156","156",6,1
"157","157",10,9
"158","158",4,1
"159","159",2,0
"160","160",7,4
"161","161",3,2
"162","162",10,3
"163","163",12,3
"164","164",12,4
"165","165",8,2
"166","166",8,0
"167","167",5,2
"168","168",7,2
"169","169",1,0
"170","170",6,2
"171","171",3,1
"172","172",5,3
"173","173",7,2
"174","174",1,0
"175","175",10,7
"176","176",8,0
"177","177",12,8
"178","178",9,8
"179","179",10,8
"180","180",6,4
"181","181",12,1
"182","182",2,1
"183","183",5,3
"184","184",8,1
"185","185",9,3
"186","186",1,0
"187","187",4,0
"188","188",10,2
"189","189",12,1
"190","190",7,6
"191","191",2,1
"192","192",12,8
"193","193",1,0
"194","194",5,4
"195","195",2,1
"196","196",7,3
"197","197",1,0
"198","198",4,3
"199","199",6,5
"200","200",2,0
"201","201",1,0
"202","202",4,3
"203","203",3,1
"204","204",9,2
"205","205",10,5
"206","206",10,4
"207","207",1,0
"208","208",9,7
"209","209",8,5
"210","210",9,8
"211","211",2,1
"212","212",4,2
"213","213",3,0
"214","214",5,4
"215","215",6,4
"216","216",6,2
"217","217",10,0
"218","218",11,9
"219","219",9,1
"220","220",2,1
"221","221",9,2
"222","222",9,8
"223","223",6,0
"224","224",9,2
"225","225",6,0
"226","226",3,0
"227","227",11,8
"228","228",7,5
"229","229",5,1
"230","230",8,3
"231","231",1,0
"232","232",1,0
"233","233",4,3
"234","234",11,2
"235","235",5,0
"236","236",2,0
"237","237",2,0
"238","238",11,8
"239","239",12,0
"240","240",12,2
"241","241",11,6
"242","242",3,1
"243","243",5,2
"244","244",5,2
"245","245",6,3
"246","246",4,1
"247","247",10,9
"248","248",5,3
"249","249",11,4
"250","250",11,5
"251","251",8,2
"252","252",12,7
"253","253",8,3
"254","254",12,10
"255","255",8,3
"256","256",4,1
"257","257",9,3
"258","258",12,2
"259","259",11,6
"260","260",10,3
"261","261",7,5
"262","262",6,3
"263","263",1,0
"264","264",9,6
"265","265",8,6
"266","266",7,2
"267","267",3,1
"268","268",11,9
"269","269",5,0
"270","270",6,4
"271","271",2,1
"272","272",8,7
"273","273",9,6
"274","274",11,3
"275","275",9,1
"276","276",1,0
"277","277",4,1
"278","278",9,5
"279","279",9,2
"280","280",3,1
"281","281",3,0
"282","282",11,4
"283","283",2,0
"284","284",5,2
"285","285",5,1
"286","286",10,4
"287","287",3,0
"288","288",5,4
"289","289",10,9
"290","290",9,8
"291","291",6,4
"292","292",4,3
"293","293",12,5
"294","294",10,9
"295","295",4,2
"296","296",12,3
"297","297",9,3
"298","298",5,4
"299","299",6,4
"300","300",9,2
"301","301",2,0
"302","302",1,0
"303","303",3,1
"304","304",5,0
"305","305",6,3
"306","306",9,4
"307","307",1,0
"308","308",9,6
"309","309",11,8
"310","310",6,1
"311","311",8,2
"312","312",8,6
"313","313",9,6
"314","314",10,9
"315","315",6,4
"316","316",7,3
"317","317",3,0
"318","318",5,3
"319","319",7,2
"320","320",3,0
"321","321",11,5
"322","322",5,0
"323","323",10,7
"324","324",11,2
"325","325",3,2
"326","326",6,4
"327","327",12,5
"328","328",9,3
"329","329",5,3
"330","330",12,7
"331","331",12,6
"332","332",4,3
"333","333",2,0
"334","334",4,1
"335","335",8,1
"336","336",8,3
"337","337",10,0
"338","338",2,0
"339","339",4,2
"340","340",1,0
"341","341",5,4
"342","342",12,1
"343","343",5,3
"344","344",7,5
"345","345",11,3
"346","346",11,6
"347","347",6,4
"348","348",7,0
"349","349",6,4
"350","350",11,1
"351","351",1,0
"352","352",10,7
"353","353",6,4
"354","354",6,1
"355","355",10,7
"356","356",3,2
"357","357",10,9
"358","358",4,1
"359","359",9,0
"360","360",9,1
"361","361",7,0
"362","362",1,0
"363","363",4,1
"364","364",11,1
"365","365",11,9
"366","366",10,3
"367","367",11,2
"368","368",12,10
"369","369",11,9
"370","370",3,0
"371","371",9,7
"372","372",3,1
"373","373",10,2
"374","374",11,6
"375","375",6,0
"376","376",10,5
"377","377",3,2
"378","378",1,0
"379","379",7,1
"380","380",10,9
"381","381",1,0
"382","382",4,0
"383","383",9,3
"384","384",7,6
"385","385",3,2
"386","386",12,9
"387","387",8,6
"388","388",5,2
"389","389",1,0
"390","390",2,1
"391","391",10,9
"392","392",5,4
"393","393",12,1
"394","394",3,1
"395","395",5,0
"396","396",5,0
"397","397",3,1
"398","398",7,4
"399","399",9,2
"400","400",12,3
"401","401",3,0
"402","402",10,7
"403","403",5,4
"404","404",12,7
"405","405",7,5
"406","406",6,5
"407","407",2,1
"408","408",6,0
"409","409",9,7
"410","410",2,0
"411","411",7,2
"412","412",7,3
"413","413",11,5
"414","414",9,5
"415","415",9,5
"416","416",2,1
"417","417",8,7
"418","418",3,0
"419","419",4,1
"420","420",11,1
"421","421",5,4
"422","422",11,8
"423","423",12,11
"424","424",8,4
"425","425",2,1
"426","426",11,8
"427","427",10,0
"428","428",1,0
"429","429",7,2
"430","430",12,9
"431","431",7,5
"432","432",11,3
"433","433",8,6
"434","434",10,7
"435","435",5,3
"436","436",1,0
"437","437",2,0
"438","438",4,1
"439","439",9,0
"440","440",1,0
"441","441",3,2
"442","442",10,4
"443","443",9,8
"444","444",7,4
"445","445",10,0
"446","446",10,7
"447","447",2,1
"448","448",8,0
"449","449",2,1
"450","450",6,1
"451","451",10,6
"452","452",4,1
"453","453",9,8
"454","454",4,2
"455","455",8,4
"456","456",7,5
"457","457",8,7
"458","458",12,3
"459","459",8,6
"460","460",5,1
"461","461",8,2
"462","462",7,2
"463","463",5,1
"464","464",1,0
"465","465",8,4
"466","466",10,1
"467","467",4,1
"468","468",4,2
"469","469",5,3
"470","470",10,6
"471","471",11,8
"472","472",8,7
