"LV.type","numberOfLaunches","numberOfFailures"
"1",6,4
"2",1,0
"3",12,2
"4",1,0
"5",10,4
"6",12,9
"7",10,3
"8",9,1
"9",8,5
"10",4,3
"11",6,5
"12",6,3
"13",9,5
"14",5,1
"15",6,2
"16",8,2
"17",6,4
"18",3,1
"19",11,10
"20",10,0
"21",3,1
"22",11,9
"23",7,5
"24",10,0
"25",1,0
"26",11,1
"27",7,5
"28",8,1
"29",1,0
"30",1,0
"31",11,3
"32",8,3
"33",10,3
"34",7,5
"35",2,0
"36",12,4
"37",8,7
"38",2,1
"39",3,1
"40",7,6
"41",8,5
"42",5,4
"43",5,1
"44",5,4
"45",10,0
"46",1,0
"47",6,5
"48",11,6
"49",8,4
"50",12,3
"51",10,8
"52",5,3
"53",12,7
"54",4,0
"55",7,3
"56",5,0
"57",9,5
"58",3,1
"59",6,2
"60",6,4
"61",3,2
"62",2,1
"63",7,0
"64",8,3
"65",11,4
"66",6,0
"67",8,0
"68",1,0
"69",11,0
"70",1,0
"71",12,2
"72",7,5
"73",11,5
"74",3,0
"75",7,5
"76",10,8
"77",8,3
"78",7,2
"79",3,0
"80",8,0
"81",1,0
"82",1,0
"83",7,2
"84",2,1
"85",12,1
"86",1,0
"87",12,7
"88",2,1
"89",11,0
"90",3,1
"91",1,0
"92",6,2
"93",1,0
"94",8,5
"95",6,2
"96",1,0
"97",4,0
"98",1,0
"99",11,0
"100",5,4
"101",11,9
"102",10,7
"103",5,3
"104",5,3
"105",4,0
"106",4,3
"107",10,9
"108",9,1
"109",1,0
"110",9,3
"111",4,1
"112",2,1
"113",2,0
"114",7,1
"115",3,2
"116",8,1
"117",3,1
"118",9,2
"119",6,3
"120",8,7
"121",7,5
"122",8,5
"123",9,2
"124",3,0
"125",7,4
"126",2,0
"127",4,0
"128",10,6
"129",11,5
"130",6,2
"131",2,0
"132",5,2
"133",6,5
"134",11,7
"135",11,2
"136",4,0
"137",2,0
"138",11,0
"139",3,0
"140",4,1
"141",1,0
"142",6,5
"143",12,11
"144",1,0
"145",5,4
"146",5,1
"147",9,8
"148",10,6
"149",4,1
"150",9,4
"151",1,0
"152",5,1
"153",9,2
"154",9,6
"155",5,4
"156",7,2
