"","LV.type","numberOfLaunches","numberOfFailures"
"1","1",10,9
"2","2",8,0
"3","3",5,0
"4","4",7,5
"5","5",9,3
"6","6",5,0
"7","7",10,1
"8","8",5,2
"9","9",10,6
"10","10",4,0
"11","11",3,1
"12","12",9,1
"13","13",7,0
"14","14",3,2
"15","15",3,0
"16","16",10,3
"17","17",9,4
"18","18",7,2
"19","19",4,2
"20","20",4,1
"21","21",9,8
"22","22",3,2
"23","23",7,2
"24","24",8,4
"25","25",3,2
"26","26",3,2
"27","27",4,2
"28","28",3,2
"29","29",11,6
"30","30",6,0
"31","31",1,0
"32","32",9,6
"33","33",2,0
"34","34",6,1
"35","35",5,0
"36","36",5,0
"37","37",1,0
"38","38",11,10
"39","39",10,8
"40","40",1,0
"41","41",8,1
"42","42",12,7
"43","43",2,0
"44","44",2,1
"45","45",10,4
"46","46",9,8
"47","47",1,0
"48","48",1,0
"49","49",3,2
"50","50",6,4
"51","51",1,0
"52","52",7,4
"53","53",9,2
"54","54",7,6
"55","55",1,0
"56","56",9,1
"57","57",4,0
"58","58",10,0
"59","59",5,4
"60","60",10,0
"61","61",4,3
"62","62",10,3
"63","63",3,2
"64","64",4,1
"65","65",2,1
"66","66",1,0
"67","67",11,6
"68","68",11,7
"69","69",5,2
"70","70",7,1
"71","71",6,2
"72","72",5,3
"73","73",7,2
"74","74",1,0
"75","75",4,0
"76","76",11,6
"77","77",5,3
"78","78",8,4
"79","79",4,2
"80","80",1,0
"81","81",3,2
"82","82",6,1
"83","83",4,1
"84","84",1,0
"85","85",8,0
"86","86",12,7
"87","87",4,0
"88","88",12,1
"89","89",4,1
"90","90",3,0
"91","91",9,5
"92","92",1,0
"93","93",8,3
"94","94",2,1
"95","95",6,2
"96","96",10,1
"97","97",8,2
"98","98",8,7
"99","99",10,3
"100","100",3,2
"101","101",1,0
"102","102",2,0
"103","103",12,0
"104","104",2,1
"105","105",11,0
"106","106",12,6
"107","107",4,2
"108","108",2,0
"109","109",12,11
"110","110",12,2
"111","111",4,0
"112","112",4,3
"113","113",6,2
"114","114",6,2
"115","115",12,10
"116","116",12,8
"117","117",5,4
"118","118",5,1
"119","119",10,2
"120","120",11,5
"121","121",11,2
"122","122",5,4
"123","123",6,5
"124","124",1,0
"125","125",10,0
"126","126",7,5
"127","127",1,0
"128","128",10,9
"129","129",12,2
"130","130",1,0
"131","131",1,0
"132","132",10,3
"133","133",8,0
"134","134",11,0
"135","135",2,0
"136","136",9,1
"137","137",11,3
"138","138",7,1
"139","139",2,1
"140","140",8,7
"141","141",9,6
"142","142",7,6
"143","143",4,1
"144","144",3,0
"145","145",3,2
"146","146",5,0
"147","147",10,5
"148","148",9,6
"149","149",6,5
"150","150",12,1
